Rank,Name,Team,Pos,Age,G,GS,PassCmp,PassAtt,PassYds,PassTD,PassInt,RushAtt,RushYds,Y/A,RushTD,Tgt,Rec,RecYds,Y/R,RecTD,FantPt,PosRank
147,Eric Ebron,DET,TE,23,13,13,0,0,0,0,0,1,1,1.0,1,85,61,711,11.66,1,83.0,15
148,Jeremy Kerley,SFO,WR,28,16,13,0,0,0,0,0,0,0,,0,115,64,667,10.42,3,83.0,61
149,Tyler Lockett,SEA,WR,24,15,9,0,0,0,0,0,6,114,19.0,1,66,41,597,14.56,1,83.0,60
150,Dennis Pitta,BAL,TE,31,16,12,0,0,0,0,0,0,0,,0,121,86,729,8.48,2,83.0,16
151,Jason Witten,DAL,TE,34,16,16,0,0,0,0,0,0,0,,0,95,69,673,9.75,3,83.0,14
152,Robert Turbin,IND,RB,27,15,0,0,0,0,0,0,47,164,3.49,7,35,26,179,6.88,1,82.0,45
153,Michael Floyd,2TM,WR,27,15,8,0,0,0,0,0,0,0,,0,76,37,488,13.19,5,81.0,63
154,Terrance Williams,DAL,WR,27,16,15,0,0,0,0,0,0,0,,0,61,44,594,13.5,4,81.0,62
155,Shaun Draughn,SFO,RB,29,16,1,0,0,0,0,0,74,196,2.65,4,39,29,263,9.07,2,80.0,46
156,C.J. Fiedorowicz,HOU,TE,25,15,15,0,0,0,0,0,0,0,,0,89,54,559,10.35,4,80.0,17
157,Brian Hoyer,CHI,QB,31,6,5,134,200,1445,6,0,7,-2,-0.29,0,0,0,0,,0,80.0,31
158,Dwayne Allen,IND,TE,26,14,14,0,0,0,0,0,0,0,,0,52,35,406,11.6,6,79.0,19
159,Charles Clay,BUF,TE,27,15,15,0,0,0,0,0,0,0,,0,87,57,552,9.68,4,79.0,18
160,Cody Kessler,CLE,QB,23,9,8,128,195,1380,6,2,11,18,1.64,0,0,0,0,,0,79.0,32
161,Adam Humphries,TAM,WR,23,15,4,0,0,0,0,0,5,18,3.6,0,83,55,622,11.31,2,78.0,64
162,Jacquizz Rodgers,TAM,RB,26,10,5,0,0,0,0,0,129,560,4.34,2,16,13,98,7.54,0,78.0,47
163,Eli Rogers,PIT,WR,24,13,8,0,0,0,0,0,1,6,6.0,0,66,48,594,12.38,3,78.0,65
164,Gary Barnidge,CLE,TE,31,16,16,0,0,0,0,0,0,0,,0,82,55,612,11.13,2,75.0,20
165,Will Fuller,HOU,WR,22,14,13,0,0,0,0,0,1,-3,-3.0,0,92,47,635,13.51,2,75.0,66
166,Chris Ivory,JAX,RB,28,11,1,0,0,0,0,0,117,439,3.75,3,28,20,186,9.3,0,75.0,49
167,Zach Zenner,DET,RB,25,14,4,0,0,0,0,0,88,334,3.8,4,23,18,196,10.89,0,75.0,48
168,Brian Quick,LAR,WR,27,16,8,0,0,0,0,0,0,0,,0,77,41,564,13.76,3,74.0,67
169,Seth Roberts,OAK,WR,25,16,6,0,0,0,0,0,0,0,,0,77,38,397,10.45,5,74.0,68
170,Robby Anderson,NYJ,WR,23,16,8,0,0,0,0,0,3,42,14.0,0,78,42,587,13.98,2,73.0,69
